afe_output_relative_time_ui,afe_output_pulse_v_per_pam_unit
-654.5,2.820003636128404e-07
-654.375,2.818943906527943e-07
-654.2499999999999,2.8178847073724143e-07
-654.125,2.8168260382000983e-07
-654.0,2.815767898546325e-07
-653.875,2.814710287950247e-07
-653.75,2.813653205947569e-07
-653.625,2.812596652078913e-07
-653.5,2.811540625881362e-07
-653.375,2.8104851268947274e-07
-653.25,2.8094301546583424e-07
-653.125,2.8083757087107676e-07
-653.0,2.807321788593859e-07
-652.8749999999999,2.8062683938486786e-07
-652.75,2.805215524016428e-07
-652.625,2.804163178639085e-07
-652.5,2.8031113572608976e-07
-652.375,2.8020600594255593e-07
-652.25,2.8010092846760147e-07
-652.125,2.7999590325581717e-07
-652.0,2.7989093026175143e-07
-651.875,2.7978600943992527e-07
-651.75,2.7968114074495074e-07
-651.625,2.7957632413158765e-07
-651.4999999999999,2.794715595544383e-07
-651.375,2.7936684696812635e-07
-651.25,2.792621863274615e-07
-651.125,2.7915757758734876e-07
-651.0,2.7905302070250827e-07
-650.875,2.7894851562805027e-07
-650.75,2.788440623190511e-07
-650.625,2.787396607306101e-07
-650.5,2.7863531081800194e-07
-650.375,2.785310125365579e-07
-650.25,2.784267658416659e-07
-650.1249999999999,2.783225706886135e-07
-650.0,2.7821842703295617e-07
-649.875,2.7811433482988063e-07
-649.75,2.780102940349667e-07
-649.625,2.7790630460343153e-07
-649.5,2.778023664908946e-07
-649.375,2.7769847965264523e-07
-649.25,2.775946440443375e-07
-649.125,2.774908596214633e-07
-649.0,2.773871263397602e-07
-648.875,2.772834441549343e-07
-648.7499999999999,2.7717981302299515e-07
-648.625,2.770762328997132e-07
-648.5,2.769727037414912e-07
-648.375,2.76869225504172e-07
-648.25,2.7676579814401525e-07
-648.125,2.766624216175361e-07
-648.0,2.7655909588078846e-07
-647.8750000000001,2.764558208902736e-07
-647.75,2.7635259660203126e-07
-647.625,2.762494229727993e-07
-647.5,2.76146299958361e-07
-647.3749999999999,2.7604322751546707e-07
-647.25,2.759402056003566e-07
-647.125,2.7583723416940774e-07
-647.0,2.757343131789362e-07
-646.875,2.7563144258560335e-07
-646.75,2.755286223461602e-07
-646.625,2.75425852417055e-07
-646.5000000000001,2.753231327550269e-07
-646.375,2.752204633171003e-07
-646.25,2.7511784406008365e-07
-646.1249999999999,2.7501527494088345e-07
-646.0,2.7491275591682556e-07
-645.875,2.748102869448284e-07
-645.75,2.7470786798188053e-07
-645.625,2.74605498985306e-07
-645.5,2.7450317991241544e-07
-645.375,2.744009107201176e-07
-645.25,2.74298691365662e-07
-645.1250000000001,2.741965218065023e-07
-645.0,2.7409440199994274e-07
-644.875,2.7399233190328776e-07
-644.7499999999999,2.738903114739422e-07
-644.625,2.737883406696254e-07
-644.5,2.736864194477258e-07
-644.375,2.735845477660699e-07
-644.25,2.734827255823925e-07
-644.125,2.7338095285409555e-07
-644.0,2.732792295389247e-07
-643.875,2.7317755559478636e-07
-643.75,2.730759309795047e-07
-643.625,2.7297435565074747e-07
-643.5,2.728728295664961e-07
-643.3749999999999,2.727713526846652e-07
-643.25,2.7266992496314847e-07
-643.125,2.7256854636029555e-07
-643.0,2.7246721683415134e-07
-642.875,2.7236593634298267e-07
-642.75,2.7226470484495184e-07
-642.625,2.7216352229857026e-07
-642.5,2.720623886622095e-07
-642.375,2.7196130389428444e-07
-642.25,2.718602679535383e-07
-642.125,2.7175928079836543e-07
-641.9999999999999,2.71658342387354e-07
-641.875,2.7155745267907526e-07
-641.75,2.714566116323042e-07
-641.625,2.713558192053416e-07
-641.5,2.712550753568128e-07
-641.375,2.711543800452372e-07
-641.25,2.710537332291326e-07
-641.125,2.7095313486718885e-07
-641.0,2.70852584918138e-07
-640.875,2.707520833409169e-07
-640.75,2.70651630094111e-07
-640.6249999999999,2.7055122513764613e-07
-640.5,2.704508684299154e-07
-640.375,2.703505599308362e-07
-640.25,2.7025029960014825e-07
-640.125,2.701500873964521e-07
-640.0,2.7004992328040803e-07
-639.875,2.6994980721012245e-07
-639.7500000000001,2.698497391458549e-07
-639.625,2.6974971904573563e-07
-639.5,2.6964974687005013e-07
-639.375,2.6954982257778147e-07
-639.2499999999999,2.6944994612798645e-07
-639.125,2.6935011748086157e-07
-639.0,2.6925033659486415e-07
-638.875,2.6915060343079165e-07
-638.75,2.6905091794800995e-07
-638.625,2.6895128010684603e-07
-638.5,2.6885168986685147e-07
-638.3750000000001,2.687521471880566e-07
-638.25,2.686526520302444e-07
