symbol_index,normalized_pam4_symbol,pre_vga_ctle_output_v,adc_analog_input_v,adc_output_code_unsigned,adc_reconstructed_voltage_v,adc_total_conversion_error_v,clipped_low,clipped_high,clipped
3922,-1.0,0.03911715817012511,0.008470487059152265,33,0.009374999999999994,0.0009045129408477293,False,False,False
3948,-3.0,-0.015138574555132225,-0.0032781292369340057,31,-0.003124999999999989,0.0001531292369340168,False,False,False
3974,3.0,0.39684367865499104,0.08593311482225009,45,0.08437499999999998,-0.0015581148222501146,False,False,False
3999,3.0,0.05534387153422335,0.011984243476870287,33,0.009374999999999994,-0.002609243476870292,False,False,False
4025,3.0,0.35148225743230666,0.07611048584239352,44,0.078125,0.0020145141576064785,False,False,False
4050,1.0,-0.01921992658158535,-0.0041619112175565,31,-0.003124999999999989,0.0010369112175565107,False,False,False
4076,-3.0,-0.23010819423492218,-0.04982796738441002,24,-0.046875,0.0029529673844100185,False,False,False
4102,1.0,0.2043823952402939,0.04425726496981659,39,0.046875,0.0026177350301834074,False,False,False
4127,3.0,0.3771971079627453,0.08167881746042163,45,0.08437499999999998,0.0026961825395783456,False,False,False
4153,1.0,0.2262262996507647,0.0489873762121911,39,0.046875,-0.002112376212191097,False,False,False
4179,3.0,0.3721508826134382,0.08058610038897762,44,0.078125,-0.0024611003889776217,False,False,False
4204,-3.0,-0.3287719161255524,-0.07119275507802761,20,-0.071875,-0.0006822449219723858,False,False,False
4230,-3.0,-0.3203022716524865,-0.0693587257860041,20,-0.071875,-0.0025162742139958894,False,False,False
4256,-1.0,-0.28222599118602004,-0.061113631918265576,22,-0.05937500000000001,0.0017386319182655652,False,False,False
4281,3.0,0.18990436567316682,0.04112217111772701,38,0.040624999999999994,-0.0004971711177270133,False,False,False
4307,3.0,0.2700195022830367,0.058470420828116126,41,0.05937500000000001,0.0009045791718838847,False,False,False
4333,3.0,0.2789878586846326,0.06041244193586623,41,0.05937500000000001,-0.001037441935866218,False,False,False
4358,1.0,0.1069619986841309,0.02316170877584213,35,0.021875000000000006,-0.0012867087758421242,False,False,False
